CMDLINE python EyeTracking.py
MEM 134.722656 1452278514.0374
MEM 134.722656 1452278514.1538
MEM 134.722656 1452278514.2643
MEM 134.722656 1452278514.3795
MEM 134.722656 1452278514.4936
MEM 134.722656 1452278514.6096
MEM 134.722656 1452278514.7260
MEM 134.722656 1452278514.8388
MEM 134.722656 1452278514.9488
MEM 134.722656 1452278515.0631
MEM 135.015625 1452278515.1732
MEM 135.601562 1452278515.2856
MEM 135.601562 1452278515.4032
MEM 135.601562 1452278515.5250
MEM 135.601562 1452278515.6357
MEM 135.601562 1452278515.7473
MEM 135.601562 1452278515.8617
MEM 135.601562 1452278515.9718
MEM 135.601562 1452278516.0821
MEM 135.601562 1452278516.1945
MEM 135.601562 1452278516.3107
MEM 135.601562 1452278516.4212
MEM 135.601562 1452278516.5311
MEM 135.601562 1452278516.6414
MEM 135.601562 1452278516.7536
MEM 135.601562 1452278516.8647
MEM 135.601562 1452278516.9751
MEM 135.894531 1452278517.0859
MEM 135.894531 1452278517.2001
MEM 135.894531 1452278517.3117
MEM 136.187500 1452278517.4232
MEM 136.187500 1452278517.5395
MEM 136.187500 1452278517.6550
MEM 136.187500 1452278517.7668
MEM 136.187500 1452278517.8770
MEM 136.480469 1452278517.9876
MEM 136.480469 1452278518.1002
MEM 136.480469 1452278518.2104
MEM 136.480469 1452278518.3198
MEM 136.480469 1452278518.4309
MEM 136.554688 1452278518.5471
MEM 136.554688 1452278518.6570
MEM 136.554688 1452278518.7673
MEM 136.847656 1452278518.8781
MEM 136.847656 1452278518.9882
MEM 136.847656 1452278519.1013
MEM 136.847656 1452278519.2119
MEM 136.847656 1452278519.3215
MEM 136.847656 1452278519.4316
MEM 137.207031 1452278519.5412
MEM 137.207031 1452278519.6527
MEM 137.500000 1452278519.7651
MEM 137.500000 1452278519.8805
MEM 137.500000 1452278519.9950
MEM 137.500000 1452278520.1059
MEM 137.500000 1452278520.2162
MEM 137.500000 1452278520.3261
MEM 137.808594 1452278520.4360
MEM 137.808594 1452278520.5530
MEM 137.808594 1452278520.6632
MEM 137.808594 1452278520.7740
MEM 137.808594 1452278520.8848
MEM 137.808594 1452278520.9944
MEM 137.808594 1452278521.1067
MEM 138.101562 1452278521.2168
MEM 138.125000 1452278521.3313
MEM 138.125000 1452278521.4415
MEM 138.160156 1452278521.5607
MEM 138.175781 1452278521.6714
MEM 138.496094 1452278521.7824
MEM 138.496094 1452278521.9023
MEM 138.789062 1452278522.0122
MEM 138.789062 1452278522.1228
MEM 138.789062 1452278522.2334
MEM 138.789062 1452278522.3442
MEM 138.789062 1452278522.4554
MEM 138.789062 1452278522.5677
MEM 138.789062 1452278522.6775
MEM 139.433594 1452278522.7920
MEM 139.433594 1452278522.9035
MEM 139.433594 1452278523.0207
